"","species_name","Fire_Type"
"495","Carex engelmannii","Unmeasured"
"496","Carex exilis","Unmeasured"
"497","Carex exsalina","Unmeasured"
"498","Carex exserta","Unmeasured"
"499","Carex exsiccata","Unmeasured"
"500","Carex festucacea","Unmeasured"
"501","Carex feta","Unmeasured"
"502","Carex filifolia","Unmeasured"
"503","Carex firmior","Unmeasured"
"504","Carex fissa","Unmeasured"
"505","Carex fissa var. aristata","Unmeasured"
"506","Carex fissa var. fissa","Unmeasured"
"507","Carex fissuricola","Unmeasured"
"508","Carex flaccosperma","Unmeasured"
"509","Carex flava","Unmeasured"
"510","Carex flavicans","Unmeasured"
"511","Carex floridana","Unmeasured"
"512","Carex folliculata","Unmeasured"
"513","Carex formosa","Unmeasured"
"514","Carex fracta","Unmeasured"
"515","Carex frankii","Unmeasured"
"516","Carex fulva","Unmeasured"
"517","Carex garberi","Unmeasured"
"518","Carex geophila","Unmeasured"
"519","Carex geyeri","Unmeasured"
"520","Carex gholsonii","Unmeasured"
"521","Carex gigantea","Unmeasured"
"522","Carex glacialis","Unmeasured"
"523","Carex glareosa","Unmeasured"
"524","Carex glareosa ssp. glareosa","Unmeasured"
"525","Carex glaucescens","Unmeasured"
"526","Carex glaucodea","Unmeasured"
"527","Carex globosa","Unmeasured"
"528","Carex gmelinii","Unmeasured"
"529","Carex godfreyi","Unmeasured"
"530","Carex gracilescens","Unmeasured"
"531","Carex gracilior","Unmeasured"
"532","Carex gracillima","Unmeasured"
"533","Carex grantii","Unmeasured"
"534","Carex granularis","Unmeasured"
"535","Carex gravida","Unmeasured"
"536","Carex gravida var. gravida","Unmeasured"
"537","Carex gravida var. lunelliana","Unmeasured"
"538","Carex grayi","Unmeasured"
"539","Carex grayi × intumescens","Unmeasured"
"540","Carex grisea","Unmeasured"
"541","Carex gynandra","Unmeasured"
"542","Carex gynocrates","Unmeasured"
"543","Carex gynodynama","Unmeasured"
"544","Carex gynodynama × mendocinensis","Unmeasured"
"545","Carex halliana","Unmeasured"
"546","Carex hallii","Unmeasured"
"547","Carex harfordii","Unmeasured"
"548","Carex hartii","Unmeasured"
"549","Carex hassei","Unmeasured"
"550","Carex haydeniana","Unmeasured"
"551","Carex haydenii","Unmeasured"
"552","Carex heleonastes","Unmeasured"
"553","Carex heleonastes ssp. heleonastes","Unmeasured"
"554","Carex heleonastes ssp. neurochlaena","Unmeasured"
"555","Carex helleri","Unmeasured"
"556","Carex helvola","Unmeasured"
"557","Carex hendersonii","Unmeasured"
"558","Carex heteroneura","Unmeasured"
"559","Carex heteroneura var. brevisquama","Unmeasured"
"560","Carex heteroneura var. chalciolepis","Unmeasured"
"561","Carex heteroneura var. epapillosa","Unmeasured"
"562","Carex heteroneura var. heteroneura","Unmeasured"
"563","Carex hirsutella","Unmeasured"
"564","Carex hirtifolia","Unmeasured"
"565","Carex hirtissima","Unmeasured"
"566","Carex hitchcockiana","Unmeasured"
"567","Carex holostoma","Unmeasured"
"568","Carex hoodii","Unmeasured"
"569","Carex hookeriana","Unmeasured"
"570","Carex hormathodes","Unmeasured"
"571","Carex hostiana","Unmeasured"
"572","Carex houghtoniana","Unmeasured"
"573","Carex hyalina","Unmeasured"
"574","Carex hyalinolepis","Unmeasured"
"575","Carex hystericina","Unmeasured"
"576","Carex idahoa","Unmeasured"
"577","Carex illota","Unmeasured"
"578","Carex impressinervia","Unmeasured"
"579","Carex incurviformis","Unmeasured"
"580","Carex incurviformis var. danaensis","Unmeasured"
"581","Carex incurviformis var. incurviformis","Unmeasured"
"582","Carex infirminervia","Unmeasured"
"583","Carex inops","Unmeasured"
"584","Carex inops ssp. heliophila","Unmeasured"
"585","Carex inops ssp. inops","Unmeasured"
"586","Carex integra","Unmeasured"
"587","Carex interior","Unmeasured"
"588","Carex interrupta","Unmeasured"
"589","Carex intumescens","Unmeasured"
"590","Carex jamesii","Unmeasured"
"591","Carex jonesii","Unmeasured"
"592","Carex joorii","Unmeasured"
"593","Carex juniperorum","Unmeasured"
"594","Carex klamathensis","Unmeasured"
"595","Carex knieskernii","Unmeasured"
"596","Carex kraliana","Unmeasured"
"597","Carex krausei","Unmeasured"
"598","Carex kyyhkynenii","Unmeasured"
"599","Carex lachenalii","Unmeasured"
"600","Carex lacustris","Unmeasured"
"601","Carex laeviconica","Unmeasured"
"602","Carex laeviculmis","Unmeasured"
"603","Carex laevivaginata","Unmeasured"
"604","Carex langeana","Unmeasured"
"605","Carex lapponica","Unmeasured"
"606","Carex lasiocarpa","Unmeasured"
"607","Carex lasiocarpa var. americana","Unmeasured"
"608","Carex latebracteata","Unmeasured"
"609","Carex lativena","Unmeasured"
"610","Carex laxa","Unmeasured"
"611","Carex laxiculmis","Unmeasured"
"612","Carex laxiculmis var. copulata","Unmeasured"
"613","Carex laxiculmis var. laxiculmis","Unmeasured"
"614","Carex laxiflora","Unmeasured"
"615","Carex laxiflora var. laxiflora","Unmeasured"
"616","Carex laxiflora var. serrulata","Unmeasured"
"617","Carex leavenworthii","Unmeasured"
"618","Carex lemmonii","Unmeasured"
"619","Carex lenticularis","Unmeasured"
"620","Carex lenticularis var. dolia","Unmeasured"
"621","Carex lenticularis var. impressa","Unmeasured"
"622","Carex lenticularis var. lenticularis","Unmeasured"
"623","Carex lenticularis var. limnophila","Unmeasured"
"624","Carex lenticularis var. lipocarpa","Unmeasured"
"625","Carex leporinella","Unmeasured"
"626","Carex leptalea","Unmeasured"
"627","Carex leptalea ssp. harperi","Unmeasured"
"628","Carex leptalea ssp. leptalea","Unmeasured"
"629","Carex leptalea ssp. pacifica","Unmeasured"
"630","Carex leptonervia","Unmeasured"
"631","Carex leptopoda","Unmeasured"
